[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | INFO: [ route_check ] --START--
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | INFO: Tag[ route_check ] --START--
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | INFO: Run CheckRoute Behavior [ RunTime:0.001001s ]
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | INFO: Run CheckRoute Behavior [ RunTime:0.001001s ]
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | INFO: [ route_check ] --END-- [ RunTime:0.001001s ]
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001001s ]
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | INFO: [ app_begin ] --START--
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | INFO: Tag[ app_begin ] --START--
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | INFO: Run CheckLang Behavior [ RunTime:0.001000s ]
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | INFO: Run CheckLang Behavior [ RunTime:0.001000s ]
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | INFO: [ app_begin ] --END-- [ RunTime:0.003000s ]
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003000s ]
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | SQL: SHOW COLUMNS FROM `user` [ 执行文件：，行号:，运行时间:0.0040s ]
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | SQL: SHOW COLUMNS FROM `user` [ 执行文件：，行号:，运行时间:0.0040s ]
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | NOTIC: [8] Undefined index: nodeActionName1 common.php 第 4027 行.
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | NOTIC: [8] Undefined index: nodeAuditId1 common.php 第 4029 行.
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | NOTIC: [2] Missing argument 1 for UserModel::getConfNotAuth(), called in E:\phpStudy\PHPTutorial\WWW\modelSys\Admin\Lib\Action\CommonAction.class.php on line 90 and defined UserModel.class.php 第 409 行.
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | NOTIC: [8] Undefined variable: type UserModel.class.php 第 411 行.
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | NOTIC: [8] Undefined index: NOT_AUTH_MODUL UserModel.class.php 第 416 行.
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | NOTIC: [8] Undefined index: iseditor CommonAction.class.php 第 5532 行.
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | NOTIC: [8] Undefined index: iseditor CommonAction.class.php 第 5532 行.
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | NOTIC: [8] Undefined index: iseditor CommonAction.class.php 第 5532 行.
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | NOTIC: [8] Undefined index: iseditor CommonAction.class.php 第 5532 行.
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | NOTIC: [2] Missing argument 1 for CommonAction::getDateSoure(), called in E:\phpStudy\PHPTutorial\WWW\modelSys\Admin\Lib\Action\MisAutoLxnAction.class.php on line 54 and defined CommonAction.class.php 第 11855 行.
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | NOTIC: [8] Undefined variable: name CommonAction.class.php 第 11856 行.
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | SQL: SHOW COLUMNS FROM `mis_dynamic_database_sub` [ 执行文件：，行号:，运行时间:0.0060s ]
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | SQL: SHOW COLUMNS FROM `mis_dynamic_database_sub` [ 执行文件：，行号:，运行时间:0.0060s ]
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | NOTIC: [8] Undefined index: nodeActionName1 common.php 第 4027 行.
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | NOTIC: [8] Undefined index: nodeAuditId1 common.php 第 4029 行.
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | SQL: SHOW COLUMNS FROM `mis_dynamic_form_propery` [ 执行文件：，行号:，运行时间:0.0080s ]
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | SQL: SHOW COLUMNS FROM `mis_dynamic_form_propery` [ 执行文件：，行号:，运行时间:0.0080s ]
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | NOTIC: [8] Undefined index: nodeActionName1 common.php 第 4027 行.
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | NOTIC: [8] Undefined index: nodeAuditId1 common.php 第 4029 行.
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | SQL: SHOW COLUMNS FROM `mis_dynamic_form_manage` [ 执行文件：，行号:，运行时间:0.0060s ]
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | SQL: SHOW COLUMNS FROM `mis_dynamic_form_manage` [ 执行文件：，行号:，运行时间:0.0060s ]
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | NOTIC: [8] Undefined index: nodeActionName1 common.php 第 4027 行.
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | NOTIC: [8] Undefined index: nodeAuditId1 common.php 第 4029 行.
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | NOTIC: [8] Undefined index: extendwhere Model.class.php 第 278 行.
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | SQL: SELECT `id` FROM `mis_dynamic_form_manage` WHERE ( `actionname` = 'MisAutoLxn' ) AND ( 1=1 ) LIMIT 1   [ 执行文件：E:\phpStudy\PHPTutorial\WWW\modelSys\Admin\Common\common.php，行号:541，运行时间:0.0000s ]
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | SQL: SELECT `id` FROM `mis_dynamic_form_manage` WHERE ( `actionname` = 'MisAutoLxn' ) AND ( 1=1 ) LIMIT 1   [ 执行文件：E:\phpStudy\PHPTutorial\WWW\modelSys\Admin\Common\common.php，行号:541，运行时间:0.0000s ]
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | NOTIC: [8] Undefined index: nodeActionName1 common.php 第 4027 行.
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | NOTIC: [8] Undefined index: nodeAuditId1 common.php 第 4029 行.
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | NOTIC: [8] Undefined index: extendwhere Model.class.php 第 278 行.
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | SQL: SELECT `tpl` FROM `mis_dynamic_form_manage` WHERE ( `id` = 4 ) AND ( 1=1 ) LIMIT 1   [ 执行文件：E:\phpStudy\PHPTutorial\WWW\modelSys\Admin\Common\common.php，行号:541，运行时间:0.0010s ]
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | SQL: SELECT `tpl` FROM `mis_dynamic_form_manage` WHERE ( `id` = 4 ) AND ( 1=1 ) LIMIT 1   [ 执行文件：E:\phpStudy\PHPTutorial\WWW\modelSys\Admin\Common\common.php，行号:541，运行时间:0.0010s ]
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | NOTIC: [8] Undefined index: extendwhere Model.class.php 第 278 行.
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | SQL: SELECT * FROM `mis_dynamic_database_sub` WHERE ( `formid` = 4 ) AND ( `isdatasouce` = 1 ) LIMIT 1   [ 执行文件：E:\phpStudy\PHPTutorial\WWW\modelSys\Admin\Lib\Action\CommonAction.class.php，行号:11870，运行时间:0.0000s ]
[ 2018-09-29T17:00:27+08:00 ] /Admin/index.php/MisAutoLxn/index | SQL: SELECT * FROM `mis_dynamic_database_sub` WHERE ( `formid` = 4 ) AND ( `isdatasouce` = 1 ) LIMIT 1   [ 执行文件：E:\phpStudy\PHPTutorial\WWW\modelSys\Admin\Lib\Action\CommonAction.class.php，行号:11870，运行时间:0.0000s ]
