[ 2018-09-30T09:56:51+08:00 ] /Admin/index.php/Public/login | INFO: [ route_check ] --START--
[ 2018-09-30T09:56:51+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ route_check ] --START--
[ 2018-09-30T09:56:51+08:00 ] /Admin/index.php/Public/login | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2018-09-30T09:56:51+08:00 ] /Admin/index.php/Public/login | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2018-09-30T09:56:51+08:00 ] /Admin/index.php/Public/login | INFO: [ route_check ] --END-- [ RunTime:0.001000s ]
[ 2018-09-30T09:56:51+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.001000s ]
[ 2018-09-30T09:56:51+08:00 ] /Admin/index.php/Public/login | INFO: [ app_begin ] --START--
[ 2018-09-30T09:56:51+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ app_begin ] --START--
[ 2018-09-30T09:56:51+08:00 ] /Admin/index.php/Public/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2018-09-30T09:56:51+08:00 ] /Admin/index.php/Public/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2018-09-30T09:56:51+08:00 ] /Admin/index.php/Public/login | INFO: Run CheckLang Behavior [ RunTime:0.002001s ]
[ 2018-09-30T09:56:51+08:00 ] /Admin/index.php/Public/login | INFO: Run CheckLang Behavior [ RunTime:0.002001s ]
[ 2018-09-30T09:56:51+08:00 ] /Admin/index.php/Public/login | INFO: [ app_begin ] --END-- [ RunTime:0.003001s ]
[ 2018-09-30T09:56:51+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003001s ]
[ 2018-09-30T09:56:51+08:00 ] /Admin/index.php/Public/login | NOTIC: [8] Undefined index: tml_userinfo Cookie.class.php 第 32 行.
[ 2018-09-30T09:56:51+08:00 ] /Admin/index.php/Public/login | NOTIC: [8] Undefined index: authId PublicAction.class.php 第 117 行.
[ 2018-09-30T09:56:51+08:00 ] /Admin/index.php/Public/login | INFO: [ view_template ] --START--
[ 2018-09-30T09:56:51+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_template ] --START--
[ 2018-09-30T09:56:51+08:00 ] /Admin/index.php/Public/login | INFO: Run LocationTemplate Behavior [ RunTime:0.001000s ]
[ 2018-09-30T09:56:51+08:00 ] /Admin/index.php/Public/login | INFO: Run LocationTemplate Behavior [ RunTime:0.001000s ]
[ 2018-09-30T09:56:51+08:00 ] /Admin/index.php/Public/login | INFO: [ view_template ] --END-- [ RunTime:0.001000s ]
[ 2018-09-30T09:56:51+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.001000s ]
[ 2018-09-30T09:56:51+08:00 ] /Admin/index.php/Public/login | INFO: [ view_parse ] --START--
[ 2018-09-30T09:56:51+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_parse ] --START--
[ 2018-09-30T09:56:51+08:00 ] /Admin/index.php/Public/login | NOTIC: [8] Undefined index: tml_remember Cookie.class.php 第 32 行.
[ 2018-09-30T09:56:51+08:00 ] /Admin/index.php/Public/login | NOTIC: [8] Undefined variable: logoPic 8466ecdcf08090cdb30a5c42b78611a8.php 第 173 行.
[ 2018-09-30T09:56:51+08:00 ] /Admin/index.php/Public/login | NOTIC: [8] Undefined index: tml_remember Cookie.class.php 第 32 行.
[ 2018-09-30T09:56:51+08:00 ] /Admin/index.php/Public/login | NOTIC: [8] Undefined index: tml_remember Cookie.class.php 第 32 行.
[ 2018-09-30T09:56:51+08:00 ] /Admin/index.php/Public/login | NOTIC: [8] Undefined variable: info 8466ecdcf08090cdb30a5c42b78611a8.php 第 271 行.
[ 2018-09-30T09:56:51+08:00 ] /Admin/index.php/Public/login | INFO: Run ParseTemplate Behavior [ RunTime:0.022001s ]
[ 2018-09-30T09:56:51+08:00 ] /Admin/index.php/Public/login | INFO: Run ParseTemplate Behavior [ RunTime:0.022001s ]
[ 2018-09-30T09:56:51+08:00 ] /Admin/index.php/Public/login | INFO: [ view_parse ] --END-- [ RunTime:0.022001s ]
[ 2018-09-30T09:56:51+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.022001s ]
[ 2018-09-30T09:56:51+08:00 ] /Admin/index.php/Public/login | INFO: [ view_filter ] --START--
[ 2018-09-30T09:56:51+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_filter ] --START--
[ 2018-09-30T09:56:51+08:00 ] /Admin/index.php/Public/login | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2018-09-30T09:56:51+08:00 ] /Admin/index.php/Public/login | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2018-09-30T09:56:51+08:00 ] /Admin/index.php/Public/login | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2018-09-30T09:56:51+08:00 ] /Admin/index.php/Public/login | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2018-09-30T09:56:51+08:00 ] /Admin/index.php/Public/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2018-09-30T09:56:51+08:00 ] /Admin/index.php/Public/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2018-09-30T09:56:51+08:00 ] /Admin/index.php/Public/login | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2018-09-30T09:56:51+08:00 ] /Admin/index.php/Public/login | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2018-09-30T09:56:51+08:00 ] /Admin/index.php/Public/login | INFO: [ view_filter ] --END-- [ RunTime:0.003000s ]
[ 2018-09-30T09:56:51+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003000s ]
[ 2018-09-30T09:56:51+08:00 ] /Admin/index.php/Public/login | INFO: [ view_end ] --START--
[ 2018-09-30T09:56:51+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_end ] --START--
