[ 2018-09-30T11:11:09+08:00 ] /Admin/index.php/MisAutoAhf/add | INFO: [ route_check ] --START--
[ 2018-09-30T11:11:09+08:00 ] /Admin/index.php/MisAutoAhf/add | INFO: Tag[ route_check ] --START--
[ 2018-09-30T11:11:09+08:00 ] /Admin/index.php/MisAutoAhf/add | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2018-09-30T11:11:09+08:00 ] /Admin/index.php/MisAutoAhf/add | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2018-09-30T11:11:09+08:00 ] /Admin/index.php/MisAutoAhf/add | INFO: [ route_check ] --END-- [ RunTime:0.002000s ]
[ 2018-09-30T11:11:09+08:00 ] /Admin/index.php/MisAutoAhf/add | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2018-09-30T11:11:09+08:00 ] /Admin/index.php/MisAutoAhf/add | INFO: [ app_begin ] --START--
[ 2018-09-30T11:11:09+08:00 ] /Admin/index.php/MisAutoAhf/add | INFO: Tag[ app_begin ] --START--
[ 2018-09-30T11:11:09+08:00 ] /Admin/index.php/MisAutoAhf/add | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2018-09-30T11:11:09+08:00 ] /Admin/index.php/MisAutoAhf/add | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2018-09-30T11:11:09+08:00 ] /Admin/index.php/MisAutoAhf/add | INFO: Run CheckLang Behavior [ RunTime:0.002000s ]
[ 2018-09-30T11:11:09+08:00 ] /Admin/index.php/MisAutoAhf/add | INFO: Run CheckLang Behavior [ RunTime:0.002000s ]
[ 2018-09-30T11:11:09+08:00 ] /Admin/index.php/MisAutoAhf/add | INFO: [ app_begin ] --END-- [ RunTime:0.003000s ]
[ 2018-09-30T11:11:09+08:00 ] /Admin/index.php/MisAutoAhf/add | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003000s ]
[ 2018-09-30T11:11:09+08:00 ] /Admin/index.php/MisAutoAhf/add | SQL: SHOW COLUMNS FROM `user` [ 执行文件：，行号:，运行时间:0.0070s ]
[ 2018-09-30T11:11:09+08:00 ] /Admin/index.php/MisAutoAhf/add | SQL: SHOW COLUMNS FROM `user` [ 执行文件：，行号:，运行时间:0.0070s ]
[ 2018-09-30T11:11:09+08:00 ] /Admin/index.php/MisAutoAhf/add | NOTIC: [8] Undefined index: nodeActionName1 common.php 第 4027 行.
[ 2018-09-30T11:11:09+08:00 ] /Admin/index.php/MisAutoAhf/add | NOTIC: [8] Undefined index: nodeAuditId1 common.php 第 4029 行.
[ 2018-09-30T11:11:09+08:00 ] /Admin/index.php/MisAutoAhf/add | NOTIC: [2] Missing argument 1 for UserModel::getConfNotAuth(), called in E:\phpStudy\PHPTutorial\WWW\modelSys\Admin\Lib\Action\CommonAction.class.php on line 90 and defined UserModel.class.php 第 409 行.
[ 2018-09-30T11:11:09+08:00 ] /Admin/index.php/MisAutoAhf/add | NOTIC: [8] Undefined variable: type UserModel.class.php 第 411 行.
[ 2018-09-30T11:11:09+08:00 ] /Admin/index.php/MisAutoAhf/add | NOTIC: [8] Undefined index: NOT_AUTH_MODUL UserModel.class.php 第 416 行.
[ 2018-09-30T11:11:09+08:00 ] /Admin/index.php/MisAutoAhf/add | NOTIC: [8] Undefined index: iseditor CommonAction.class.php 第 5532 行.
[ 2018-09-30T11:11:09+08:00 ] /Admin/index.php/MisAutoAhf/add | NOTIC: [8] Undefined index: iseditor CommonAction.class.php 第 5532 行.
