[ 2018-09-30T16:19:36+08:00 ] /Admin/index.php/MisAutoAhf/add | INFO: Run ParseTemplate Behavior [ RunTime:0.178010s ]
[ 2018-09-30T16:19:36+08:00 ] /Admin/index.php/MisAutoAhf/add | INFO: Run ParseTemplate Behavior [ RunTime:0.178010s ]
[ 2018-09-30T16:19:36+08:00 ] /Admin/index.php/MisAutoAhf/add | INFO: [ view_parse ] --END-- [ RunTime:0.178010s ]
[ 2018-09-30T16:19:36+08:00 ] /Admin/index.php/MisAutoAhf/add | INFO: Tag[ view_parse ] --END-- [ RunTime:0.178010s ]
[ 2018-09-30T16:19:36+08:00 ] /Admin/index.php/MisAutoAhf/add | INFO: [ view_filter ] --START--
[ 2018-09-30T16:19:36+08:00 ] /Admin/index.php/MisAutoAhf/add | INFO: Tag[ view_filter ] --START--
[ 2018-09-30T16:19:36+08:00 ] /Admin/index.php/MisAutoAhf/add | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2018-09-30T16:19:36+08:00 ] /Admin/index.php/MisAutoAhf/add | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2018-09-30T16:19:36+08:00 ] /Admin/index.php/MisAutoAhf/add | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2018-09-30T16:19:36+08:00 ] /Admin/index.php/MisAutoAhf/add | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2018-09-30T16:19:36+08:00 ] /Admin/index.php/MisAutoAhf/add | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2018-09-30T16:19:36+08:00 ] /Admin/index.php/MisAutoAhf/add | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2018-09-30T16:19:36+08:00 ] /Admin/index.php/MisAutoAhf/add | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2018-09-30T16:19:36+08:00 ] /Admin/index.php/MisAutoAhf/add | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2018-09-30T16:19:36+08:00 ] /Admin/index.php/MisAutoAhf/add | INFO: [ view_filter ] --END-- [ RunTime:0.004000s ]
[ 2018-09-30T16:19:36+08:00 ] /Admin/index.php/MisAutoAhf/add | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004000s ]
[ 2018-09-30T16:19:36+08:00 ] /Admin/index.php/MisAutoAhf/add | INFO: [ view_end ] --START--
[ 2018-09-30T16:19:36+08:00 ] /Admin/index.php/MisAutoAhf/add | INFO: Tag[ view_end ] --START--
[ 2018-09-30T16:19:36+08:00 ] /Admin/index.php/MisAutoAhf/add | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2018-09-30T16:19:36+08:00 ] /Admin/index.php/MisAutoAhf/add | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2018-09-30T16:19:36+08:00 ] /Admin/index.php/MisAutoAhf/add | INFO: [ view_end ] --END-- [ RunTime:0.001000s ]
[ 2018-09-30T16:19:36+08:00 ] /Admin/index.php/MisAutoAhf/add | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2018-09-30T16:19:36+08:00 ] /Admin/index.php/Common/getDBData | INFO: [ route_check ] --START--
[ 2018-09-30T16:19:36+08:00 ] /Admin/index.php/Common/getDBData | INFO: Tag[ route_check ] --START--
[ 2018-09-30T16:19:36+08:00 ] /Admin/index.php/Common/getDBData | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2018-09-30T16:19:36+08:00 ] /Admin/index.php/Common/getDBData | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2018-09-30T16:19:36+08:00 ] /Admin/index.php/Common/getDBData | INFO: [ route_check ] --END-- [ RunTime:0.001000s ]
[ 2018-09-30T16:19:36+08:00 ] /Admin/index.php/Common/getDBData | INFO: Tag[ route_check ] --END-- [ RunTime:0.001000s ]
[ 2018-09-30T16:19:36+08:00 ] /Admin/index.php/Common/getDBData | INFO: [ app_begin ] --START--
[ 2018-09-30T16:19:36+08:00 ] /Admin/index.php/Common/getDBData | INFO: Tag[ app_begin ] --START--
[ 2018-09-30T16:19:36+08:00 ] /Admin/index.php/Common/getDBData | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2018-09-30T16:19:36+08:00 ] /Admin/index.php/Common/getDBData | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2018-09-30T16:19:36+08:00 ] /Admin/index.php/Common/getDBData | INFO: Run CheckLang Behavior [ RunTime:0.005000s ]
[ 2018-09-30T16:19:36+08:00 ] /Admin/index.php/Common/getDBData | INFO: Run CheckLang Behavior [ RunTime:0.005000s ]
[ 2018-09-30T16:19:36+08:00 ] /Admin/index.php/Common/getDBData | INFO: [ app_begin ] --END-- [ RunTime:0.006000s ]
[ 2018-09-30T16:19:36+08:00 ] /Admin/index.php/Common/getDBData | INFO: Tag[ app_begin ] --END-- [ RunTime:0.006000s ]
[ 2018-09-30T16:19:36+08:00 ] /Admin/index.php/Common/getDBData | SQL: SHOW COLUMNS FROM `user` [ 执行文件：，行号:，运行时间:0.0060s ]
[ 2018-09-30T16:19:36+08:00 ] /Admin/index.php/Common/getDBData | SQL: SHOW COLUMNS FROM `user` [ 执行文件：，行号:，运行时间:0.0060s ]
[ 2018-09-30T16:19:36+08:00 ] /Admin/index.php/Common/getDBData | NOTIC: [8] Undefined index: nodeActionName1 common.php 第 4027 行.
[ 2018-09-30T16:19:36+08:00 ] /Admin/index.php/Common/getDBData | NOTIC: [8] Undefined index: nodeAuditId1 common.php 第 4029 行.
[ 2018-09-30T16:19:36+08:00 ] /Admin/index.php/Common/getDBData | NOTIC: [2] Missing argument 1 for UserModel::getConfNotAuth(), called in E:\phpStudy\PHPTutorial\WWW\modelSys\Admin\Lib\Action\CommonAction.class.php on line 90 and defined UserModel.class.php 第 409 行.
[ 2018-09-30T16:19:36+08:00 ] /Admin/index.php/Common/getDBData | NOTIC: [8] Undefined variable: type UserModel.class.php 第 411 行.
[ 2018-09-30T16:19:36+08:00 ] /Admin/index.php/Common/getDBData | NOTIC: [8] Undefined index: NOT_AUTH_MODUL UserModel.class.php 第 416 行.
[ 2018-09-30T16:19:36+08:00 ] /Admin/index.php/Common/getDBData | NOTIC: [8] Undefined index: iseditor CommonAction.class.php 第 5532 行.
[ 2018-09-30T16:19:36+08:00 ] /Admin/index.php/Common/getDBData | NOTIC: [8] Undefined index: iseditor CommonAction.class.php 第 5532 行.
