[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | INFO: [ route_check ] --START--
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | INFO: Tag[ route_check ] --START--
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | INFO: [ route_check ] --END-- [ RunTime:0.001000s ]
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001000s ]
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | INFO: [ app_begin ] --START--
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | INFO: Tag[ app_begin ] --START--
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | INFO: Run CheckLang Behavior [ RunTime:0.001000s ]
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | INFO: Run CheckLang Behavior [ RunTime:0.001000s ]
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | INFO: [ app_begin ] --END-- [ RunTime:0.003000s ]
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003000s ]
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | SQL: SHOW COLUMNS FROM `user` [ 执行文件：，行号:，运行时间:0.0060s ]
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | SQL: SHOW COLUMNS FROM `user` [ 执行文件：，行号:，运行时间:0.0060s ]
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | NOTIC: [8] Undefined index: nodeActionName1 common.php 第 4027 行.
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | NOTIC: [8] Undefined index: nodeAuditId1 common.php 第 4029 行.
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | NOTIC: [2] Missing argument 1 for UserModel::getConfNotAuth(), called in E:\phpStudy\PHPTutorial\WWW\modelSys\Admin\Lib\Action\CommonAction.class.php on line 90 and defined UserModel.class.php 第 409 行.
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | NOTIC: [8] Undefined variable: type UserModel.class.php 第 411 行.
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | NOTIC: [8] Undefined index: NOT_AUTH_MODUL UserModel.class.php 第 416 行.
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | NOTIC: [8] Undefined index: iseditor CommonAction.class.php 第 5534 行.
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | NOTIC: [8] Undefined index: iseditor CommonAction.class.php 第 5534 行.
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | NOTIC: [8] Undefined index: iseditor CommonAction.class.php 第 5534 行.
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | NOTIC: [8] Undefined index: iseditor CommonAction.class.php 第 5534 行.
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | NOTIC: [8] Undefined index: iseditor CommonAction.class.php 第 5534 行.
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | NOTIC: [8] Undefined index: iseditor CommonAction.class.php 第 5534 行.
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | NOTIC: [8] Undefined index: main MisAutoAhfAction.class.php 第 63 行.
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | NOTIC: [2] Missing argument 1 for getModelFilterByNodeSetting(), called in E:\phpStudy\PHPTutorial\WWW\modelSys\Admin\Lib\Model\MisAutoAhfViewModel.class.php on line 16 and defined common.php 第 4023 行.
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | NOTIC: [8] Undefined index: nodeActionName1 common.php 第 4027 行.
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | NOTIC: [8] Undefined index: nodeAuditId1 common.php 第 4029 行.
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | NOTIC: [8] Undefined index: nodeActionName1 common.php 第 4027 行.
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | NOTIC: [8] Undefined index: nodeAuditId1 common.php 第 4029 行.
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | NOTIC: [8] Undefined index: extendwhere Model.class.php 第 278 行.
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | SQL: SHOW COLUMNS FROM `mis_auto_pzfuk` [ 执行文件：，行号:，运行时间:0.0050s ]
[ 2018-10-09T17:47:39+08:00 ] /Admin/index.php/MisAutoAhf/edit/id/17 | SQL: SHOW COLUMNS FROM `mis_auto_pzfuk` [ 执行文件：，行号:，运行时间:0.0050s ]
